Servico,Latitude,Longitude,Linha,Servico2,Frequencia
Linha 1 GOS - URI,-22.98503,-43.19809,Linha 1,GOS-URI,Todos os dias
Linha 1 GOS - URI,-22.98313,-43.19666,Linha 2,ESA-PVN,Dias úteis e Sábados
Linha 1 GOS - URI,-22.98282,-43.19642,Linha 2,BTF-PVN,Domingos e Feriados
Linha 1 GOS - URI,-22.98276,-43.19638,,,
Linha 1 GOS - URI,-22.98250,-43.19618,,,
Linha 1 GOS - URI,-22.98222,-43.19603,,,
Linha 1 GOS - URI,-22.98167,-43.19574,,,
Linha 1 GOS - URI,-22.98092,-43.19536,,,
Linha 1 GOS - URI,-22.98049,-43.19514,,,
Linha 1 GOS - URI,-22.97981,-43.19491,,,
Linha 1 GOS - URI,-22.97891,-43.19481,,,
Linha 1 GOS - URI,-22.97838,-43.19476,,,
Linha 1 GOS - URI,-22.97660,-43.19461,,,
Linha 1 GOS - URI,-22.97660,-43.19461,,,
Linha 1 GOS - URI,-22.97547,-43.19445,,,
Linha 1 GOS - URI,-22.97449,-43.19431,,,
Linha 1 GOS - URI,-22.97389,-43.19423,,,
Linha 1 GOS - URI,-22.97288,-43.19389,,,
Linha 1 GOS - URI,-22.97176,-43.19313,,,
Linha 1 GOS - URI,-22.97112,-43.19248,,,
Linha 1 GOS - URI,-22.96926,-43.18991,,,
Linha 1 GOS - URI,-22.96766,-43.18688,,,
Linha 1 GOS - URI,-22.96766,-43.18688,,,
Linha 1 GOS - URI,-22.96577,-43.18307,,,
Linha 1 GOS - URI,-22.96507,-43.18165,,,
Linha 1 GOS - URI,-22.96481,-43.18116,,,
Linha 1 GOS - URI,-22.96457,-43.18088,,,
Linha 1 GOS - URI,-22.96441,-43.18077,,,
Linha 1 GOS - URI,-22.96427,-43.18071,,,
Linha 1 GOS - URI,-22.96427,-43.18071,,,
Linha 1 GOS - URI,-22.96218,-43.18046,,,
Linha 1 GOS - URI,-22.96023,-43.18026,,,
Linha 1 GOS - URI,-22.95853,-43.18060,,,
Linha 1 GOS - URI,-22.95686,-43.18126,,,
Linha 1 GOS - URI,-22.95651,-43.18149,,,
Linha 1 GOS - URI,-22.95297,-43.18347,,,
Linha 1 GOS - URI,-22.95226,-43.18389,,,
Linha 1 GOS - URI,-22.95131,-43.18415,,,
Linha 1 GOS - URI,-22.95131,-43.18415,,,
Linha 1 GOS - URI,-22.95036,-43.18421,,,
Linha 1 GOS - URI,-22.94933,-43.18427,,,
Linha 1 GOS - URI,-22.94802,-43.18431,,,
Linha 1 GOS - URI,-22.94623,-43.18435,,,
Linha 1 GOS - URI,-22.94297,-43.18380,,,
Linha 1 GOS - URI,-22.94179,-43.18282,,,
